"","full_address","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","sold_date","sold_year","n1_total","total_credit_amt","taxable_income_amt","mortgageint_amt","p_mortgageint_nr","inctax_amt","p_unemploy_nr","agi_amt","num_dependents","p_re_taxes_nr","agi_bucket"
"2040","18 Coastal View Ct Unit 18, Cutler, ME, 04626","for_sale",170000,3,2,NA,"18 Coastal View Ct Unit 18","Cutler","Maine","04626",1200,2012-07-23,"2012",170,0.370588235294118,23.8647058823529,0.970588235294118,0.176470588235294,2.85294117647059,0,42.2294117647059,0.647058823529412,0.235294117647059,2.11764705882353
"2041","18 County Ct, Pittsfield, MA, 01201","for_sale",629900,3,3,0.48,"18 County Ct","Pittsfield","Massachusetts","01201",2418,2012-09-07,"2012",22130,0.297966561229101,32.4689109805694,1.43895164934478,0.222322638951649,5.34600090375057,0.0953456845910529,48.8387257117036,0.486669679168549,0.261183913239946,2.20876638047899
"2042","18 Empress Ln, Lawrence Township, NJ, 08648","for_sale",4e+05,3,2,0.38,"18 Empress Ln","Lawrence Township","New Jersey","08648",1673,2010-11-12,"2010",14645,0.608262205530898,57.673335609423,3.96319562990782,0.382519631273472,10.9271423694094,0.107476954592011,81.478183680437,0.581290542847388,0.458108569477637,2.94496415158757
"2043","18 Hageman Rd, Franklin Twp, NJ, 08873","for_sale",699900,4,3,0.68,"18 Hageman Rd","Franklin Twp","New Jersey","08873",NA,2012-09-12,"2012",26020,0.394004611837048,52.2631053036126,3.27486548808609,0.334358186010761,9.70726364335127,0.116833205226749,74.9591852421214,0.608378170637971,0.412375096079938,2.86587240584166
"2044","18 Hallsey Ln, Woodbridge, CT, 06525","for_sale",449000,3,2,1.61,"18 Hallsey Ln","Woodbridge","Connecticut","06525",2145,2014-08-29,"2014",4450,0.623820224719101,189.972359550562,4.42561797752809,0.417977528089888,34.9725842696629,0.0382022471910112,227.12808988764,0.617977528089888,0.561797752808989,3.59775280898876
"2045","18 Hamilton Dr, West Windsor, NJ, 08550","for_sale",839000,4,3,0.78,"18 Hamilton Dr","West Windsor","New Jersey","08550",3010,2011-06-14,"2011",9078,0.630094734523023,132.974223397224,6.05948446794448,0.457259308217669,33.7137034589117,0.0749063670411985,172.919145186164,0.862855254461335,0.593632958801498,3.76283322317691
"2046","18 Hartco Ave, Lancaster, NH, 03584","for_sale",319000,3,2,0.46,"18 Hartco Ave","Lancaster","New Hampshire","03584",2600,2010-09-15,"2010",1707,0.457527885178676,102.128881077914,1.2231985940246,0.155243116578793,16.9472759226714,0.107791564147627,120.831282952548,0.562390158172232,0.193907439953134,2.14176918570592
"2047","18 Harvard St, Nashua, NH, 03060","for_sale",429900,5,1,0.18,"18 Harvard St","Nashua","New Hampshire","03060",3286,2013-08-06,"2013",14580,0.284636488340192,28.7037037037037,1.20390946502058,0.150891632373114,4.38052126200274,0.0706447187928669,43.8358710562414,0.523319615912209,0.16803840877915,2.13305898491084
"2048","18 Highland St, Ticonderoga, NY, 12883","for_sale",165000,2,2,0.5,"18 Highland St","Ticonderoga","New York","12883",1281,2014-02-27,"2014",2290,0.287336244541485,29.746288209607,0.866812227074236,0.157205240174672,4.40218340611354,0.0960698689956332,46.4934497816594,0.54585152838428,0.196506550218341,2.25327510917031
"2049","18 Hollycrest Dr, Brick, NJ, 08723","for_sale",439000,3,2,0.17,"18 Hollycrest Dr","Brick","New Jersey","08723",NA,2011-09-23,"2011",16243,0.346487717786123,35.698023764083,3.54164871021363,0.366804161792772,5.65769870097888,0.157791048451641,55.5309364033738,0.54534260912393,0.425229329557348,2.49861478790864
"2050","18 Huntington Rd, Carmel, NY, 10512","for_sale",379000,2,1,0.28,"18 Huntington Rd","Carmel","New York","10512",1440,2012-01-20,"2012",12220,0.34189852700491,56.9327332242226,4.17815057283142,0.416530278232406,11.2962356792144,0.0908346972176759,82.7707037643208,0.59328968903437,0.491816693944354,2.96317512274959
"2051","18 LA Quinta Ln, Lakewood, NJ, 08701","for_sale",459900,3,2,0.11,"18 LA Quinta Ln","Lakewood","New Jersey","08701",NA,2013-01-04,"2013",30240,0.402083333333333,27.0012566137566,1.36415343915344,0.170304232804233,4.7452380952381,0.0876322751322751,51.1411375661376,1.73148148148148,0.237103174603175,2.10548941798942
"2052","18 Locust Ave, Port Washington, NY, 11050","for_sale",1300000,5,3,0.15,"18 Locust Ave","Port Washington","New York","11050",2491,2012-12-26,"2012",14660,0.665075034106412,140.755934515689,5.39890859481583,0.34106412005457,35.8596862210095,0.0668485675306958,182.620395634379,0.639836289222374,0.46793997271487,3.3055934515689
"2053","18 Marblehead Pl, Barnegat, NJ, 08005","for_sale",459900,3,3,0.17,"18 Marblehead Pl","Barnegat","New Jersey","08005",2946,2010-06-25,"2010",11150,0.402690582959641,34.4103139013453,3.74780269058296,0.382690582959641,5.15291479820628,0.168430502242152,55.0132735426009,0.54627802690583,0.463497757847534,2.53461883408072
"2054","18 North St, Summit, NJ, 07901","for_sale",769000,4,4,NA,"18 North St","Summit","New Jersey","07901",2200,2013-05-14,"2013",10850,1.11124423963134,223.107926267281,5.93078341013825,0.366820276497696,66.2987096774194,0.0534562211981567,273.04202764977,0.776036866359447,0.483870967741935,3.5594470046083
"2055","18 Oak Ln, Lindenwold, NJ, 08021","for_sale",174999,3,1,0.17,"18 Oak Ln","Lindenwold","New Jersey","08021",700,2014-08-20,"2014",22440,0.31969696969697,28.0012923351159,1.33119429590018,0.230837789661319,4.13293226381462,0.0909090909090909,45.3200980392157,0.653743315508021,0.268270944741533,2.1951871657754
"2056","18 Oakdale Dr, Millville, NJ, 08332","for_sale",315000,3,3,0.82,"18 Oakdale Dr","Millville","New Jersey","08332",1920,2010-07-16,"2010",16916,0.415405533222984,26.6056987467486,1.88088200520218,0.250059115630173,3.77908489004493,0.2006975703476,43.7598131946087,0.644892409553086,0.284346181130291,2.15316859777725
"2057","18 Orange St Unit 18, Newburyport, MA, 01950","for_sale",769000,3,3,NA,"18 Orange St Unit 18","Newburyport","Massachusetts","01950",1686,2012-04-10,"2012",9230,0.440411700975081,81.7541711809317,4.67919826652221,0.422535211267606,16.4089924160347,0.0790899241603467,105.945178764897,0.497291440953413,0.494041170097508,3.11592632719393
"2058","18 Pleasant St, Upton, MA, 01568","for_sale",330000,2,2,0.45,"18 Pleasant St","Upton","Massachusetts","01568",1492,2010-12-14,"2010",3402,0.504409171075838,69.3283362727807,6.05496766607878,0.503233392122281,13.9373897707231,0.115520282186949,95.026455026455,0.739564961787184,0.562610229276896,3.20340975896531
"2059","18 Pond St Apt 7, Boston, MA, 02130","for_sale",479999,2,1,NA,"18 Pond St Apt 7","Boston","Massachusetts","02130",787,2011-03-21,"2011",19870,0.27775541016608,47.4422747861097,2.68933064921993,0.243381982888777,9.00040261701057,0.0673376950176145,64.4800704579769,0.340110719677906,0.272924006039255,2.52964267740312
"2060","18 Prosper Way, Washington, NJ, 07882","for_sale",325000,3,2,0.73,"18 Prosper Way","Washington","New Jersey","07882",NA,2012-07-03,"2012",6980,0.355157593123209,45.5462750716332,3.39899713467049,0.385386819484241,7.77063037249284,0.130372492836676,67.3103151862464,0.610315186246418,0.448424068767908,2.74212034383954
"2061","18 Punkin Dr, Ellington, CT, 06029","for_sale",339900,4,3,1.02,"18 Punkin Dr","Ellington","Connecticut","06029",2451,2012-04-27,"2012",7880,0.391243654822335,59.2454314720812,3.26446700507614,0.380710659898477,11.0106598984772,0.0951776649746193,81.5329949238579,0.571065989847716,0.446700507614213,2.98604060913706
"2062","18 Raven Dr, Morris Twp, NJ, 07960","for_sale",610000,3,3,0.07,"18 Raven Dr","Morris Twp","New Jersey","07960",NA,2012-03-19,"2012",21180,0.613692162417375,118.429367327668,4.43333333333333,0.330500472143532,28.9891879131256,0.0736543909348442,151.533569405099,0.537771482530689,0.428706326723324,3.16808309726157
"2063","18 Ridge Rd, Green Brook, NJ, 08812","for_sale",1100000,5,4,0.61,"18 Ridge Rd","Green Brook","New Jersey","08812",NA,2013-08-28,"2013",7000,0.399714285714286,57.1727142857143,3.48128571428571,0.367142857142857,11.5748571428571,0.0942857142857143,81.117,0.678571428571429,0.442857142857143,2.84714285714286
"2064","18 Rockford Dr, West Nyack, NY, 10994","for_sale",1188000,6,7,0.89,"18 Rockford Dr","West Nyack","New York","10994",5000,2014-04-21,"2014",3820,0.375130890052356,91.0756544502618,4.32748691099476,0.382198952879581,21.2295811518325,0.0392670157068063,123.017539267016,0.602094240837696,0.510471204188482,3.31151832460733
"2065","18 S Hilltop Ave, Somerdale, NJ, 08083","for_sale",139999,2,1,0.17,"18 S Hilltop Ave","Somerdale","New Jersey","08083",1153,2010-06-17,"2010",5195,0.464677574590953,32.2309913378248,2.58652550529355,0.332820019249278,4.76265640038499,0.153031780558229,51.5613089509143,0.635033686236766,0.396727622714148,2.41251203079884
"2066","18 Seminole Ln, Pedricktown, NJ, 08067","for_sale",359000,3,3,1.03,"18 Seminole Ln","Pedricktown","New Jersey","08067",1624,2013-05-10,"2013",920,0.4,40.6076086956522,2.30869565217391,0.315217391304348,6.34782608695652,0.0869565217391304,60.6032608695652,0.608695652173913,0.369565217391304,2.71739130434783
"2067","18 Slope Dr, Millburn, NJ, 07078","for_sale",2995000,5,5,NA,"18 Slope Dr","Millburn","New Jersey","07078",NA,2010-07-29,"2010",5921,2.60091200810674,470.079885154535,11.8079716264145,0.464955244046614,141.593649721331,0.0570849518662388,574.642965715251,0.956088498564432,0.629285593649721,4.02499577774025
"2068","18 Stone Ave Unit 1, Greenwich, CT, 06830","for_sale",825000,3,4,0.52,"18 Stone Ave Unit 1","Greenwich","Connecticut","06830",2082,2013-01-25,"2013",12380,5.65912762520194,508.920759289176,5.13861066235864,0.261712439418417,155.200323101777,0.04281098546042,621.659773828756,0.580775444264943,0.361066235864297,3.26332794830372
"2069","18 Sunset Blvd, Hopewell Junction, NY, 12533","for_sale",550000,4,4,1.38,"18 Sunset Blvd","Hopewell Junction","New York","12533",3196,2010-01-12,"2010",11693,0.520738903617549,56.7952621226375,5.86804070811597,0.467117078594031,10.6314034037458,0.0965534935431455,83.6359360301035,0.740271957581459,0.526297784999572,3.08227144445395
