,full_address,status,price,bed,bath,house,acre_lot,house*acre lot,street,city,state,zip_code,house_size,sold_date,sold_year,n1_total,total_credit_amt,taxable_income_amt,mortgageint_amt,p_mortgageint_nr,inctax_amt,p_unemploy_nr,agi_amt,num_dependents,p_re_taxes_nr,agi_bucket
1889,"2105 Wallace Ave Apt 2H, Bronx, NY, 10462",for_sale,165000,1,1,0,NA,0,2105 Wallace Ave Apt 2H,Bronx,New York,10462,700,6/11/14,2014,38820,0.30633694,23.74170531,0.540880989,0.075218959,3.371020093,0.054868624,40.03521381,0.709170531,0.074188563,2.063884596
1890,"2106 Windrow Dr, Princeton, NJ, 08540",for_sale,320000,1,2,1,NA,0,2106 Windrow Dr,Princeton,New Jersey,8540,1311,4/11/12,2012,20020,1.276523477,184.3982517,5.438811189,0.403596404,46.44455544,0.058441558,232.5765235,0.695304695,0.536463536,3.68031968
1891,"211 Brown St Unit 16, Philadelphia, PA, 19123",for_sale,639000,3,3,0,0.03,0,211 Brown St Unit 16,Philadelphia,Pennsylvania,19123,2268,7/8/10,2010,6072,0.279314888,35.21986166,2.309288538,0.194664032,6.411396574,0.114789213,50.81521739,0.37516469,0.199604743,2.237318841
1892,"211 Brown St Unit 22, Philadelphia, PA, 19123",for_sale,629000,2,3,0,0.03,0,211 Brown St Unit 22,Philadelphia,Pennsylvania,19123,2046,4/3/12,2012,6370,0.281161695,41.57080063,2.062323391,0.193092622,7.821350078,0.092621664,57.58649922,0.406593407,0.197802198,2.398744113
1893,"211 Copeley Way, North Brunswick, NJ, 08902",for_sale,315000,2,3,1,0.77,0.77,211 Copeley Way,North Brunswick,New Jersey,8902,1426,9/19/14,2014,20710,0.38894254,49.07358764,2.366344761,0.275712216,8.929840657,0.065668759,70.8815548,0.669724771,0.330758088,2.766779334
1894,"211 E 13th St Apt 1C, New York, NY, 10003",for_sale,1125000,0,1,0,NA,0,211 E 13th St Apt 1C,New York,New York,10003,562,9/23/14,2014,29810,1.651224421,191.0275411,2.705937605,0.231130493,52.95582019,0.034887622,231.8346863,0.160684334,0.256289836,3.649446494
1895,"211 E 13th St Apt 1D, Manhattan, NY, 10003",for_sale,1550000,1,1,0,NA,0,211 E 13th St Apt 1D,Manhattan,New York,10003,787,8/20/14,2014,29810,1.651224421,191.0275411,2.705937605,0.231130493,52.95582019,0.034887622,231.8346863,0.160684334,0.256289836,3.649446494
1896,"211 E 13th St Apt 3E, New York City, NY, 10003",for_sale,1600000,1,1,0,NA,0,211 E 13th St Apt 3E,New York City,New York,10003,766,6/27/14,2014,29810,1.651224421,191.0275411,2.705937605,0.231130493,52.95582019,0.034887622,231.8346863,0.160684334,0.256289836,3.649446494
1897,"211 E 13th St Apt 6K, Manhattan, NY, 10003",for_sale,2750000,2,2,0,NA,0,211 E 13th St Apt 6K,Manhattan,New York,10003,1176,6/24/14,2014,29810,1.651224421,191.0275411,2.705937605,0.231130493,52.95582019,0.034887622,231.8346863,0.160684334,0.256289836,3.649446494
1898,"211 E 18th St Unit 2RST, New York City, NY, 10003",for_sale,3.00E+06,4,3,0,0.53,0,211 E 18th St Unit 2RST,New York City,New York,10003,2150,3/13/14,2014,29810,1.651224421,191.0275411,2.705937605,0.231130493,52.95582019,0.034887622,231.8346863,0.160684334,0.256289836,3.649446494
1899,"211 E 51st St Apt 2F, New York City, NY, 10022",for_sale,999990,1,1,0,0.21,0,211 E 51st St Apt 2F,New York City,New York,10022,842,6/21/12,2012,19710,3.7920345,334.5396753,4.804515474,0.360223237,81.44205987,0.0456621,423.8519026,0.233384069,0.412480974,3.905124302
1900,"211 Malcolm Rd, West Haven, CT, 06516",for_sale,220000,3,3,1,0.2,0.2,211 Malcolm Rd,West Haven,Connecticut,6516,1814,7/19/12,2012,26070,0.310049866,28.92056003,1.881741465,0.263904871,4.334906022,0.134637514,46.42558496,0.604909858,0.307633295,2.228231684
1901,"211 Oberhugel Rd, Stamford, VT, 05350",for_sale,249900,3,2,1,1,1,211 Oberhugel Rd,Stamford,Vermont,5350,1104,7/1/11,2011,351.0001,0.279203339,25.49002151,1.529915234,0.219374296,3.504272791,0.14814953,41.42448991,0.415954867,0.256411038,2.159545254
1902,"211 W 71st St Apt 11C, New York City, NY, 10023",for_sale,950000,1,1,0,NA,0,211 W 71st St Apt 11C,New York City,New York,10023,798,1/22/10,2010,34540,1.240532716,209.6850898,4.854198031,0.311870295,58.05570353,0.080920672,267.9037927,0.257064273,0.351013318,3.579212507
1903,"2110 Frederick Douglass Blvd Apt 5A, New York City, NY, 10026",for_sale,1190000,2,2,0,NA,0,2110 Frederick Douglass Blvd Apt 5A,New York City,New York,10026,1185,4/4/14,2014,18150,0.28077135,43.19928375,1.399504132,0.107988981,8.908539945,0.061157025,61.15322314,0.561432507,0.104132231,2.32892562
1904,"2112 N Camac St, Philadelphia, PA, 19122",for_sale,330000,4,2,0,0.02,0,2112 N Camac St,Philadelphia,Pennsylvania,19122,1402,12/23/13,2013,6520,0.230368098,17.17515337,0.601993865,0.098159509,2.453680982,0.096625767,30.98266871,0.717791411,0.105828221,1.717791411
1905,"2113 Barren Hill Rd, Conshohocken, PA, 19428",for_sale,889000,4,4,1,0.64,0.64,2113 Barren Hill Rd,Conshohocken,Pennsylvania,19428,3815,3/20/12,2012,10350,0.362415459,58.41652174,2.888309179,0.295652174,11.25990338,0.080193237,77.83971014,0.343961353,0.322705314,2.808695652
1906,"2114 Aspen Dr Unit 2114, Plainsboro, NJ, 08536",for_sale,199900,1,1,0,NA,0,2114 Aspen Dr Unit 2114,Plainsboro,New Jersey,8536,740,6/19/14,2014,9430,0.570519618,81.49671262,2.541781548,0.279957582,16.90604454,0.042417815,106.0775186,0.699893955,0.337221633,3.400848356
