,full_address,status,price,bed,bath,house,acre_lot,house*acre lot,street,city,state,zip_code,house_size,sold_date,sold_year,n1_total,total_credit_amt,taxable_income_amt,mortgageint_amt,p_mortgageint_nr,inctax_amt,p_unemploy_nr,agi_amt,num_dependents,p_re_taxes_nr,agi_bucket
1,"02 Trouble Ln, Smyrna, DE, 19977",for_sale,515990,4,3,1,0.28,0.28,02 Trouble Ln,Smyrna,Delaware,19977,3000,12/22/14,2014,10680,0.430524345,35.43314607,2.6917603,0.296816479,5.239138577,0.062734082,54.63735955,0.6582397,0.306179775,2.510299625
2,"1 Academy Cir Unit 109, Philadelphia, PA, 19146",for_sale,399000,1,1,0,NA,0,1 Academy Cir Unit 109,Philadelphia,Pennsylvania,19146,921,6/26/12,2012,17850,0.247170868,44.23086835,2.146610644,0.207282913,8.769355742,0.092436975,61.26313725,0.477310924,0.22464986,2.362464986
3,"1 Avery St Apt 29C, Boston, MA, 02111",for_sale,1895000,2,3,0,0.03,0,1 Avery St Apt 29C,Boston,Massachusetts,2111,1504,6/1/10,2010,2932,2.189631651,181.2725102,4.328785846,0.216234686,49.40961801,0.097203342,220.5627558,0.317530696,0.269099591,2.677694407
4,"1 Avery St Ph 2A, Boston, MA, 02111",for_sale,8900000,5,6,0,NA,0,1 Avery St Ph 2A,Boston,Massachusetts,2111,4421,9/9/11,2011,2940,0.727891156,143.2346939,3.501020442,0.199659898,38.46768707,0.082653129,175.9608844,0.313945578,0.254761905,2.686734694
5,"1 Barway Ln, Cumberland, RI, 02864",for_sale,644500,5,3,1,0.82,0.82,1 Barway Ln,Cumberland,Rhode Island,2864,2400,7/11/14,2014,17330,0.377899596,52.33802654,2.810328909,0.350836699,9.358857473,0.082515868,72.9779573,0.532602424,0.397576457,2.854587421
6,"1 Bittersweet Dr, West Chester, PA, 19382",for_sale,4750000,6,11,1,7.37,7.37,1 Bittersweet Dr,West Chester,Pennsylvania,19382,18001,4/4/14,2014,24470,0.529342051,95.33011851,3.93543114,0.384552513,21.77793216,0.042092358,119.7501839,0.563547201,0.451164691,3.221087045
7,"1 Broad St Unit 10F, Stamford, CT, 06901",for_sale,5.00E+05,2,3,0,NA,0,1 Broad St Unit 10F,Stamford,Connecticut,6901,1530,10/4/11,2011,4168,2.946017274,98.68258157,1.737524016,0.134836876,22.56070058,0.072696761,122.0242322,0.318857965,0.153790787,2.938819578
8,"1 Broad St Unit 32C, Stamford, CT, 06901",for_sale,875000,3,4,0,NA,0,1 Broad St Unit 32C,Stamford,Connecticut,6901,1863,8/29/13,2013,4220,2.522985782,99.1028436,1.619194313,0.130331754,23.81090047,0.059241706,120.3992891,0.305687204,0.1492891,3.009478673
9,"1 Brush Pasture Ln Unit 219, Portland, CT, 06480",for_sale,133000,1,1,0,NA,0,1 Brush Pasture Ln Unit 219,Portland,Connecticut,6480,840,6/14/13,2013,4760,0.390756303,55.75546218,2.922478992,0.403361345,10.01953782,0.094537815,77.49915966,0.516806723,0.491596639,2.985294118
10,"1 Central Park W Unit 1100, New York City, NY, 10023",for_sale,3495000,2,3,0,NA,0,1 Central Park W Unit 1100,New York City,New York,10023,1340,2/16/10,2010,34540,1.240532716,209.6850898,4.854198031,0.311870295,58.05570353,0.080920672,267.9037927,0.257064273,0.351013318,3.579212507
11,"1 Central Park W Unit 1500, New York, NY, 10023",for_sale,3950000,2,3,0,NA,0,1 Central Park W Unit 1500,New York,New York,10023,1340,12/31/13,2013,33900,1.674277286,254.5364897,3.826076696,0.309144543,75.89165192,0.054277286,315.8965487,0.279941003,0.351622419,3.781710914
12,"1 Central Park W Unit 25C, New York, NY, 10023",for_sale,6995000,2,3,0,NA,0,1 Central Park W Unit 25C,New York,New York,10023,1591,6/19/12,2012,34110,1.235033714,256.7776019,4.132043389,0.311638816,68.71926121,0.064204046,320.4552624,0.276165347,0.354734682,3.735854588
13,"1 Central Park W Unit 30E, New York City, NY, 10023",for_sale,3450000,2,3,0,NA,0,1 Central Park W Unit 30E,New York City,New York,10023,1444,11/1/13,2013,33900,1.674277286,254.5364897,3.826076696,0.309144543,75.89165192,0.054277286,315.8965487,0.279941003,0.351622419,3.781710914
14,"1 Central Park W Unit 38B, New York, NY, 10023",for_sale,5375000,2,3,0,NA,0,1 Central Park W Unit 38B,New York,New York,10023,1600,12/7/12,2012,34110,1.235033714,256.7776019,4.132043389,0.311638816,68.71926121,0.064204046,320.4552624,0.276165347,0.354734682,3.735854588
15,"1 Clipper Ct, Atlantic City, NJ, 08401",for_sale,189900,3,3,1,0.04,0.04,1 Clipper Ct,Atlantic City,New Jersey,8401,1260,12/20/13,2013,17780,0.190776153,13.4352081,0.529246344,0.079865017,1.909955006,0.149606299,28.30635546,0.854893138,0.102362205,1.584364454
16,"1 Collins Ln, Essex, CT, 06426",for_sale,950000,3,4,1,0.48,0.48,1 Collins Ln,Essex,Connecticut,6426,2744,3/11/10,2010,1793,0.74010039,107.8326827,5.766871166,0.41662019,24.42442833,0.080870106,143.3430006,0.379252649,0.568878974,3.370886782
17,"1 Concord Dr, Livingston, NJ, 07039",for_sale,579000,4,2,1,0.15,0.15,1 Concord Dr,Livingston,New Jersey,7039,1457,3/16/12,2012,13950,0.790824373,157.0688172,5.963154122,0.447311828,54.1134767,0.075268817,273.0851613,0.767741935,0.602867384,3.612903226
18,"1 Cottontail Rd, Norwalk, CT, 06854",for_sale,699000,4,3,1,0.52,0.52,1 Cottontail Rd,Norwalk,Connecticut,6854,1458,9/11/14,2014,14540,0.275859697,41.69064649,2.058528198,0.208390646,8.275790922,0.07565337,61.04993122,0.591471802,0.246905089,2.368638239
19,"1 Crow Hollow Ln, Westport, CT, 06880",for_sale,619000,2,2,1,1,1,1 Crow Hollow Ln,Westport,Connecticut,6880,916,9/26/12,2012,12700,1.784015748,308.1529134,9.39511811,0.450393701,83.78929134,0.055905512,377.3354331,0.753543307,0.582677165,3.771653543
20,"1 Crows Nest Cir, West Chester, PA, 19382",for_sale,1750000,5,6,1,1.9,1.9,1 Crows Nest Cir,West Chester,Pennsylvania,19382,8800,9/30/14,2014,24470,0.529342051,95.33011851,3.93543114,0.384552513,21.77793216,0.042092358,119.7501839,0.563547201,0.451164691,3.221087045
21,"1 Deming Ln, Cromwell, CT, 06416",for_sale,679900,6,4,1,1.82,1.82,1 Deming Ln,Cromwell,Connecticut,6416,3184,6/8/11,2011,7464,0.358386924,54.54729368,3.609726688,0.426848875,10.30091104,0.105975362,76.36334405,0.489549839,0.503617363,2.905278671
22,"1 E 66th St Apt 4D, New York City, NY, 10065",for_sale,3100000,2,2,0,NA,0,1 E 66th St Apt 4D,New York City,New York,10065,1500,12/2/10,2010,15471,1.948484261,273.1110465,4.457759679,0.265787603,75.77861806,0.066317627,354.1193847,0.249369789,0.309482257,3.592398681
23,"1 E Meadow Way Unit 1, Manchester, NH, 03109",for_sale,259900,3,1,0,NA,0,1 E Meadow Way Unit 1,Manchester,New Hampshire,3109,1920,10/24/12,2012,5390,0.385528757,38.61150278,2.822077922,0.319109462,5.925046382,0.06864564,56.19332096,0.497217069,0.341372913,2.569573284
24,"1 Elliott Rd, Broomall, PA, 19008",for_sale,635000,4,3,1,0.47,0.47,1 Elliott Rd,Broomall,Pennsylvania,19008,2754,10/6/14,2014,10640,0.398214286,59.63421053,2.98862782,0.343045113,11.48496241,0.045112782,81.26231203,0.546992481,0.420112782,2.891917293
25,"1 Gold St Apt 18G, Hartford, CT, 06103",for_sale,159000,1,1,0,NA,0,1 Gold St Apt 18G,Hartford,Connecticut,6103,809,12/17/12,2012,1020,0.31372549,79.62745098,1.323529412,0.137254902,17.43039216,0.049019608,106.8284314,0.166666667,0.176470588,3.098039216
26,"1 Huntington Ave Apt 404, Boston, MA, 02116",for_sale,3750000,2,3,0,0.04,0,1 Huntington Ave Apt 404,Boston,Massachusetts,2116,1905,5/30/14,2014,10660,3.407973734,452.734334,4.205065666,0.268292683,125.1530957,0.033771107,549.9008443,0.187617261,0.361163227,3.74108818
27,"1 Jamie Ln Apt 1D, Manchester, CT, 06042",for_sale,199900,3,3,0,NA,0,1 Jamie Ln Apt 1D,Manchester,Connecticut,6042,1432,12/23/14,2014,12450,0.341445783,41.33148594,1.608514056,0.263453815,6.540321285,0.069076305,59.53654618,0.43373494,0.312449799,2.675502008
28,"1 John St Apt 19, Haledon, NJ, 07508",for_sale,269000,2,2,0,NA,0,1 John St Apt 19,Haledon,New Jersey,7508,1270,7/14/10,2010,10949,0.47611654,35.75349347,3.226048041,0.28888483,6.177367796,0.176363138,56.49328706,0.648917709,0.362224861,2.390172619
29,"1 Juneberry Ln Unit 1, Ridgefield, CT, 06877",for_sale,315000,2,2,0,NA,0,1 Juneberry Ln Unit 1,Ridgefield,Connecticut,6877,1190,12/22/14,2014,11590,0.991803279,182.2692839,6.731837791,0.45470233,50.56013805,0.038826575,224.9554789,0.740293356,0.56686799,3.689387403
30,"1 Laurent Rd Apt 4, Salem, MA, 01970",for_sale,299999,2,1,0,NA,0,1 Laurent Rd Apt 4,Salem,Massachusetts,1970,773,1/31/13,2013,21530,0.276962378,38.77510451,2.13051556,0.256386438,6.538365072,0.078030655,55.91899675,0.427310729,0.292614956,2.457965629
31,"1 Main St Apt 4F, Brooklyn, NY, 11201",for_sale,1699000,1,2,0,NA,0,1 Main St Apt 4F,Brooklyn,New York,11201,1293,12/13/13,2013,29680,0.93453504,138.1013814,3.664319407,0.274595687,36.76630728,0.056940701,172.2617588,0.336253369,0.288409704,3.461927224
32,"1 N Kelly Mountain Rd, New Milford, CT, 06776",for_sale,1250000,6,6,1,5.62,5.62,1 N Kelly Mountain Rd,New Milford,Connecticut,6776,7000,4/27/12,2012,13200,0.385454545,49.10022727,4.0025,0.406060606,8.81780303,0.096969697,71.57090909,0.58030303,0.459848485,2.770454545
33,"1 Pine View Cir, New Milford, CT, 06776",for_sale,579900,4,5,1,0.78,0.78,1 Pine View Cir,New Milford,Connecticut,6776,3034,9/28/11,2011,13062,0.411958352,46.9244373,4.48239167,0.427346501,8.380416475,0.112540193,69.28793447,0.598223855,0.476726382,2.762134436
34,"1 Potter Rd, Scarsdale, NY, 10583",for_sale,860000,4,2,1,0.12,0.12,1 Potter Rd,Scarsdale,New York,10583,1596,12/22/14,2014,18880,3.318961864,378.3644597,6.616260593,0.432733051,115.9094809,0.02595339,446.0454979,0.732521186,0.576271186,3.888241525
35,"1 Powers St Apt 502, Brooklyn, NY, 11211",for_sale,1175000,1,1,0,NA,0,1 Powers St Apt 502,Brooklyn,New York,11211,871,9/24/10,2010,39009,0.251890589,31.5271604,1.146632828,0.072598631,5.935245713,0.098643903,47.39511395,0.667205004,0.074034197,2.089774155
36,"1 Prescott St Apt 301, Boston, MA, 02128",for_sale,499000,2,1,0,NA,0,1 Prescott St Apt 301,Boston,Massachusetts,2128,1014,10/20/14,2014,20370,0.280216004,25.1526755,0.665733922,0.083946981,3.67628866,0.064801178,40.00235641,0.543446244,0.091801669,2.023564065
37,"1 Quail Holw Unit 1, Enfield, CT, 06082",for_sale,279900,2,2,0,NA,0,1 Quail Holw Unit 1,Enfield,Connecticut,6082,1296,7/15/11,2011,21123,0.362495858,36.30147233,2.577806183,0.348103963,5.524830753,0.144013634,54.13089997,0.49434266,0.396818634,2.517161388
38,"1 Queens Ct, Mendham Township, NJ, 07960",for_sale,1850000,5,6,1,3.01,3.01,1 Queens Ct,Mendham Township,New Jersey,7960,6950,9/13/11,2011,20968,0.474961847,107.8088993,4.944582221,0.341425029,26.6301984,0.085272797,139.7702213,0.557039298,0.43986074,3.143981305
39,"1 Raskin Rd, Morris Twp, NJ, 07960",for_sale,975000,5,4,1,0.71,0.71,1 Raskin Rd,Morris Twp,New Jersey,7960,3655,11/18/13,2013,21320,0.77434334,117.4941839,3.999108818,0.324108818,30.50103189,0.055347092,148.6598499,0.530487805,0.423076923,3.205909944
40,"1 Regency Pl Unit 311, Woodbridge Proper, NJ, 07095",for_sale,289900,2,2,0,NA,0,1 Regency Pl Unit 311,Woodbridge Proper,New Jersey,7095,1404,2/25/11,2011,10141,0.47884824,49.48673701,2.649837294,0.29188443,8.941228676,0.127502229,72.87841436,0.636919436,0.355980673,2.716595996
41,"1 Roger Rd, Great Barrington, MA, 01230",for_sale,649000,3,3,1,0.19,0.19,1 Roger Rd,Great Barrington,Massachusetts,1230,1876,11/1/12,2012,3720,0.338709677,48.01102151,2.40672043,0.26344086,8.704569892,0.077956989,69.55994624,0.39516129,0.341397849,2.389784946
42,"1 Spring St Apt 1504, New Brunswick, NJ, 08901",for_sale,499999,2,2,0,0,0,1 Spring St Apt 1504,New Brunswick,New Jersey,8901,1310,1/18/13,2013,19570,0.306234032,18.5185488,0.772304548,0.087889627,2.97112928,0.062851303,34.67593255,1.007664793,0.103219213,1.75370465
43,"1 Stark Pl, Edison, NJ, 08820",for_sale,699000,5,3,1,0.4,0.4,1 Stark Pl,Edison,New Jersey,8820,2688,2/28/14,2014,17860,0.491433371,87.1431131,3.341321389,0.365621501,18.92989922,0.048152296,115.7268757,0.764277716,0.495520717,3.428891377
44,"1 Stony Point Rd W, Westport, CT, 06880",for_sale,5400000,6,9,1,1.83,1.83,1 Stony Point Rd W,Westport,Connecticut,6880,6875,6/2/14,2014,12640,1.822943038,343.7443038,8.394857595,0.433544304,103.4292722,0.034018987,406.6157437,0.719936709,0.574367089,3.860759494
45,"1 Tamarac Rd, Westport, CT, 06880",for_sale,2799000,6,6,1,0.38,0.38,1 Tamarac Rd,Westport,Connecticut,6880,4500,10/3/14,2014,12640,1.822943038,343.7443038,8.394857595,0.433544304,103.4292722,0.034018987,406.6157437,0.719936709,0.574367089,3.860759494
46,"1 Trafalgar Dr, Plattsburgh, NY, 12901",for_sale,329000,4,3,1,0.27,0.27,1 Trafalgar Dr,Plattsburgh,New York,12901,2296,8/27/13,2013,14200,0.278802817,32.90373239,1.028591549,0.176760563,5.531197183,0.08943662,49.36119718,0.455633803,0.211971831,2.21971831
47,"1 Trish Ct, Matawan, NJ, 07747",for_sale,788000,4,3,1,0.18,0.18,1 Trish Ct,Matawan,New Jersey,7747,2181,5/14/12,2012,15360,0.353776042,56.25091146,4.022916667,0.412760417,10.4655599,0.134114583,80.71328125,0.611328125,0.494791667,3.043619792
48,"1 Turner Dr, Greenwich, CT, 06831",for_sale,2700000,5,4,1,1.14,1.14,1 Turner Dr,Greenwich,Connecticut,6831,2776,2/14/11,2011,7447,4.270981603,443.6411978,8.056667114,0.34027125,118.8532295,0.055190009,546.0347791,0.601181684,0.48099906,3.48811602
49,"1 W Exchange St Unit 2802, Providence, RI, 02903",for_sale,599900,1,2,0,NA,0,1 W Exchange St Unit 2802,Providence,Rhode Island,2903,1038,3/10/10,2010,3724,0.491944146,55.24946294,1.714285714,0.136680988,12.70300752,0.09855,77.05370569,0.237916219,0.167561762,2.284640172
50,"1 Weatherly Rd, Delran, NJ, 08075",for_sale,319000,3,4,1,0.06,0.06,1 Weatherly Rd,Delran,New Jersey,8075,1926,5/29/14,2014,14470,0.345473393,39.78147892,2.314927436,0.326192122,6.366966137,0.08016586,59.77581202,0.588804423,0.384243262,2.601243953
51,"1 Wistar Pl Unit 1, Boston, MA, 02129",for_sale,699900,1,2,0,NA,0,1 Wistar Pl Unit 1,Boston,Massachusetts,2129,1058,12/23/11,2011,9484,0.271509911,81.92123577,4.330451286,0.302720371,18.4425348,0.078026149,103.4956769,0.336145086,0.32960776,3.101433994
52,"1 Woodfield Rd, Green Township, NJ, 07821",for_sale,895000,4,5,1,4.41,4.41,1 Woodfield Rd,Green Township,New Jersey,7821,4245,9/10/12,2012,4280,0.4,64.63014019,4.681308411,0.46728972,13.00911215,0.135514019,91.06518692,0.661214953,0.556074766,3.123831776
53,"1 Woodland Ave, North Haven, CT, 06473",for_sale,299000,3,2,1,0.28,0.28,1 Woodland Ave,North Haven,Connecticut,6473,1580,10/2/12,2012,12460,0.391733547,59.19711075,3.328651685,0.384430177,10.99574639,0.097913323,82.08483146,0.520866774,0.471107544,2.913322632
54,"10-13 115 St, College Point, NY, 11356",for_sale,725000,2,2,1,0.03,0.03,10-13 115 St,College Point,New York,11356,960,1/24/13,2013,11830,0.284108199,25.01986475,1.664243449,0.152155537,3.640236686,0.065934066,43.03981403,0.663567202,0.176669484,2.060016906
55,"10-20 Bay 32nd St, Far Rockaway, NY, 11691",for_sale,750000,7,5,1,0.1,0.1,10-20 Bay 32nd St,Far Rockaway,New York,11691,3600,5/21/10,2010,22046,0.387553298,19.98897759,1.377302005,0.121473283,3.069763222,0.098113041,37.15857752,0.863603375,0.130454504,1.851991291
56,"10 Aiken Ct, Plattsburgh, NY, 12903",for_sale,325000,3,2,1,0.19,0.19,10 Aiken Ct,Plattsburgh,New York,12903,1919,8/16/11,2011,724.0001,0.23066309,39.4019284,1.72513816,0.285911839,6.560772713,0.073204962,57.07319667,0.310773576,0.361878679,2.540055727
57,"10 Arden Ave, Ewing, NJ, 08638",for_sale,325000,4,2,1,0.18,0.18,10 Arden Ave,Ewing,New Jersey,8638,1584,9/10/13,2013,10380,0.293834297,27.77196532,1.690847784,0.239884393,4.173314066,0.097302505,45.06705202,0.613680154,0.289980732,2.19460501
58,"10 Augustus Ln, Greenwich, CT, 06830",for_sale,3895000,5,6,1,0.67,0.67,10 Augustus Ln,Greenwich,Connecticut,6830,4917,2/1/11,2011,11982,5.723752295,411.6936238,6.290852946,0.272742447,109.6632449,0.063011183,511.544233,0.592305124,0.368886663,3.252879319
59,"10 Bailey Ave, Darien, CT, 06820",for_sale,1300000,3,3,1,0.24,0.24,10 Bailey Ave,Darien,Connecticut,6820,2140,6/17/13,2013,9310,2.941568206,413.5230934,9.704296455,0.460794844,131.2508056,0.045112782,487.0183673,0.945220193,0.578947368,3.945220193
60,"10 Beechwood Blvd, Trevose, PA, 19053",for_sale,699000,5,4,1,0.32,0.32,10 Beechwood Blvd,Trevose,Pennsylvania,19053,3805,12/22/11,2011,14042,0.357356502,42.17704031,3.314200256,0.353012391,7.176541803,0.13110668,61.85130323,0.526848027,0.405141718,2.602620709
61,"10 Bleecker St Unit TH1, New York City, NY, 10012",for_sale,3250000,3,2,0,NA,0,10 Bleecker St Unit TH1,New York City,New York,10012,2000,7/3/13,2013,12780,1.194366197,172.5265258,2.280907668,0.151799687,49.48967136,0.042253521,209.9091549,0.194053208,0.179186228,3.407668232
62,"10 Brians Way, Princeton Junction, NJ, 08550",for_sale,799000,4,3,1,0.54,0.54,10 Brians Way,Princeton Junction,New Jersey,8550,2549,5/31/13,2013,9100,0.786153846,145.2247253,4.980989011,0.441758242,37.29879121,0.056043956,182.2747253,0.828571429,0.589010989,3.859340659
63,"10 Castle Ct, Thiells, NY, 10984",for_sale,575000,4,2,1,0.29,0.29,10 Castle Ct,Thiells,New York,10984,2088,5/6/13,2013,1310,0.319847328,53.88473282,3.971755725,0.435114504,9.514503817,0.06870229,79.66717557,0.610687023,0.519083969,3.129770992
64,"10 Cedar Ln, Weston, CT, 06883",for_sale,1895000,5,4,1,2.11,2.11,10 Cedar Ln,Weston,Connecticut,6883,3259,7/1/11,2011,4463,1.086937038,245.0965718,11.70602734,0.521174098,69.77907237,0.054895832,309.3208604,0.894913735,0.633430428,3.855030249
65,"10 Central Ave, Norwich, CT, 06360",for_sale,99000,2,1,1,0.1,0.1,10 Central Ave,Norwich,Connecticut,6360,663,3/17/10,2010,18054,0.32552343,27.73285698,1.877423286,0.234795613,4.211809017,0.147224997,43.90833056,0.515730586,0.265592113,2.122798272
66,"10 Choctaw Trl, Ringwood, NJ, 07456",for_sale,479900,3,3,1,0.56,0.56,10 Choctaw Trl,Ringwood,New Jersey,7456,2211,7/16/14,2014,5850,0.355384615,72.50512821,4.262393162,0.476923077,14.85897436,0.076923077,99.77094017,0.617094017,0.588034188,3.300854701
67,"10 Columbus Cir, Avon, CT, 06001",for_sale,219900,2,2,1,0.26,0.26,10 Columbus Cir,Avon,Connecticut,6001,1050,3/31/14,2014,9220,0.703036876,137.4561822,4.617353579,0.446854664,35.13785249,0.041214751,170.3434924,0.612798265,0.577006508,3.604121475
68,"10 Comly Ct, Flourtown, PA, 19031",for_sale,369900,2,3,1,NA,0,10 Comly Ct,Flourtown,Pennsylvania,19031,2508,5/7/10,2010,2251,0.533984896,76.44247001,4.695246557,0.407818747,16.45357619,0.075077788,101.7947579,0.563749445,0.50821857,3.010661928
69,"10 Culver Ln, North Haven, CT, 06473",for_sale,229000,2,1,1,0.46,0.46,10 Culver Ln,North Haven,Connecticut,6473,672,3/16/11,2011,12424,0.390212492,51.20548938,3.53219575,0.387717321,9.193174501,0.108580167,73.22947521,0.525595621,0.473116549,2.877978107
70,"10 Doreen Dr, Staten Island, NY, 10303",for_sale,429000,2,2,1,0.03,0.03,10 Doreen Dr,Staten Island,New York,10303,1080,3/6/13,2013,11700,0.332905983,23.69555556,2.246410256,0.233333333,3.363162393,0.076068376,42.10512821,0.830769231,0.242735043,2.126495726
71,"10 Drury Ln, Demarest, NJ, 07627",for_sale,525000,2,2,1,0.18,0.18,10 Drury Ln,Demarest,New Jersey,7627,1074,3/3/14,2014,2270,0.832599119,183.6823789,6.377092511,0.422907489,50.93612335,0.026431718,230.5061674,0.740088106,0.581497797,3.665198238
72,"10 Dutton Ave, Fair Haven, VT, 05743",for_sale,185000,5,2,1,0.31,0.31,10 Dutton Ave,Fair Haven,Vermont,5743,2536,7/16/12,2012,2000,0.2795,23.7925,1.0225,0.15,3.1475,0.105,38.997,0.485,0.18,2.03
73,"10 East Pl, Tuxedo Park, NY, 10987",for_sale,250000,2,1,1,0.14,0.14,10 East Pl,Tuxedo Park,New York,10987,680,9/18/12,2012,1650,0.576969697,155.3036364,6.039393939,0.442424242,40.38121212,0.084848485,202.3309091,0.551515152,0.551515152,3.357575758
74,"10 Edgewater Dr, Greenwich, CT, 06870",for_sale,1975000,4,3,1,0.24,0.24,10 Edgewater Dr,Greenwich,Connecticut,6870,1871,7/26/13,2013,3280,3.117987805,366.1862805,9.5125,0.457317073,111.5926829,0.045731707,435.629878,0.81402439,0.585365854,3.963414634
75,"10 Elkington Dr, Mount Laurel, NJ, 08054",for_sale,374900,3,3,1,0.23,0.23,10 Elkington Dr,Mount Laurel,New Jersey,8054,2134,10/2/12,2012,22420,0.366726137,62.50548617,3.793220339,0.427297056,12.35022302,0.097234612,85.91547725,0.544603033,0.505352364,2.979482605
76,"10 Ethan Allen Dr, Suffern, NY, 10901",for_sale,799000,5,3,1,0.92,0.92,10 Ethan Allen Dr,Suffern,New York,10901,2148,2/2/10,2010,11273,0.443537656,67.29947663,5.307194181,0.418344717,14.57172004,0.095005766,96.83385079,0.660516278,0.502084627,3.027854165
77,"10 Evesboro Rd, Chesterfield, NJ, 08515",for_sale,675000,4,4,1,0.14,0.14,10 Evesboro Rd,Chesterfield,New Jersey,8515,3074,10/24/13,2013,2390,0.511715481,74.5251046,6.037238494,0.527196653,14.2167364,0.087866109,104.6849372,0.841004184,0.589958159,3.543933054
78,"10 Godfrey Ln, Westport, CT, 06880",for_sale,2850000,6,7,1,1.02,1.02,10 Godfrey Ln,Westport,Connecticut,6880,5735,8/17/10,2010,12288,2.031005859,271.4484863,11.61051432,0.467447917,77.06176758,0.069824219,336.4719238,0.771565755,0.599365234,3.734863281
79,"10 Hidden Oak Trl, Plainville, CT, 06062",for_sale,75000,2,1,1,NA,0,10 Hidden Oak Trl,Plainville,Connecticut,6062,868,3/23/10,2010,9332,0.40827261,34.50321474,2.731568796,0.346442349,5.131483069,0.17820404,52.16705958,0.454993571,0.390698671,2.450385769
80,"10 Highgate Rd, Riverside, CT, 06878",for_sale,2950000,4,3,1,0.8,0.8,10 Highgate Rd,Riverside,Connecticut,6878,3138,12/7/10,2010,3468,4.337370242,438.2159746,11.21222607,0.424452134,118.9472318,0.077854671,527.8664937,0.850922722,0.55911188,3.678200692
81,"10 James Junior Ave, Killingly, CT, 06239",for_sale,239900,3,1,1,0.35,0.35,10 James Junior Ave,Killingly,Connecticut,6239,1104,5/17/12,2012,5030,0.317097416,29.90934394,2.2027833,0.282306163,4.324850895,0.163021869,47.06282306,0.528827038,0.308151093,2.284294235
82,"10 Jennifer Ln, Morrisville, PA, 19067",for_sale,584900,5,4,1,0.19,0.19,10 Jennifer Ln,Morrisville,Pennsylvania,19067,3170,6/6/12,2012,26240,0.383727134,75.34035823,4.029954268,0.396341463,15.81425305,0.089557927,100.3839558,0.605564024,0.465320122,3.065167683
83,"10 Kenwood Rd, Garden City, NY, 11530",for_sale,1249000,3,3,1,0.15,0.15,10 Kenwood Rd,Garden City,New York,11530,1881,9/4/12,2012,13710,0.7,155.0308534,6.233260394,0.417213713,40.43377097,0.052516411,202.2386579,0.686360321,0.584245077,3.630196937
84,"10 Lapointe Rd, Chazy, NY, 12921",for_sale,99000,4,2,1,0.47,0.47,10 Lapointe Rd,Chazy,New York,12921,1248,5/20/14,2014,1260,0.356349206,40.20873016,1.017460317,0.19047619,6.36984127,0.079365079,57.40634921,0.5,0.238095238,2.404761905
85,"10 Lewald Ln, Port Henry, NY, 12974",for_sale,130000,4,2,1,0.3,0.3,10 Lewald Ln,Port Henry,New York,12974,1596,10/3/14,2014,640,0.2640625,25.4609375,0.64375,0.15625,3.346875,0.125,41.4515625,0.46875,0.171875,2.15625
86,"10 Little St W Ph 1C, New York City, NY, 10004",for_sale,5400000,4,5,0,NA,0,10 Little St W Ph 1C,New York City,New York,10004,3042,2/16/12,2012,2420,3.159504132,293.4099174,6.393801653,0.289256198,78.45123967,0.045454545,363.6210744,0.438016529,0.334710744,4.053719008
87,"10 Locust St, South Hampton, NH, 03827",for_sale,975000,3,6,1,1.7,1.7,10 Locust St,South Hampton,New Hampshire,3827,7577,5/7/13,2013,1660,0.319879518,60.30542169,3.563855422,0.403614458,11.85481928,0.060240964,82.36445783,0.506024096,0.475903614,2.969879518
88,"10 Max Dr, Morris Twp, NJ, 07960",for_sale,669900,4,3,1,0.18,0.18,10 Max Dr,Morris Twp,New Jersey,7960,2460,1/2/14,2014,21320,0.757551595,126.4615385,3.852157598,0.320356473,32.39882739,0.045497186,157.3578799,0.51782364,0.419324578,3.264540338
89,"10 Mistletoe Ln, Levittown, PA, 19054",for_sale,285000,3,1,1,0.23,0.23,10 Mistletoe Ln,Levittown,Pennsylvania,19054,1084,9/21/10,2010,8718,0.482908936,31.39676531,2.999197064,0.326565726,4.308786419,0.162651996,49.13236981,0.5770819,0.350194999,2.412938747
90,"10 Montfern Ave Unit 3, Boston, MA, 02135",for_sale,579000,4,1,0,0.03,0,10 Montfern Ave Unit 3,Boston,Massachusetts,2135,1266,7/13/11,2011,21783,0.217830418,34.74337786,1.259468393,0.125372997,5.826791535,0.058669609,47.79998164,0.198641142,0.143139145,2.237983749
91,"10 Norway Rd, Toms River, NJ, 08757",for_sale,345000,2,2,1,0.14,0.14,10 Norway Rd,Toms River,New Jersey,8757,1404,4/8/10,2010,16618,0.236009153,24.22752437,2.172463594,0.263389096,3.385004212,0.140931526,40.76194488,0.287940787,0.339150319,2.091045854
92,"10 Odonnell Rd, New Britain, CT, 06053",for_sale,225000,3,2,1,0.17,0.17,10 Odonnell Rd,New Britain,Connecticut,6053,1014,8/3/10,2010,15165,0.354434553,23.43356413,1.471150676,0.217144741,3.141839763,0.194263112,38.92568414,0.52311243,0.253214639,2.034091658
93,"10 Purkis Rd, Buckfield, ME, 04220",for_sale,260000,3,1,1,4,4,10 Purkis Rd,Buckfield,Maine,4220,1224,10/1/13,2013,1420,0.333802817,23.36408451,1.174647887,0.204225352,2.922535211,0.084507042,39.97042254,0.528169014,0.225352113,2.098591549
