"","full_address","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","sold_date","sold_year","n1_total","total_credit_amt","taxable_income_amt","mortgageint_amt","p_mortgageint_nr","inctax_amt","p_unemploy_nr","agi_amt","num_dependents","re_taxes_nr","agi_bucket"
"365","106 13th St Apt 226, Boston, MA, 02129","for_sale",485000,1,1,NA,"106 13th St Apt 226","Boston","Massachusetts","02129",713,2012-05-29,"2012",9630,375.515057113188,119145.916926272,5662.70404984424,2930,26060.4215991693,0.0664589823468328,152558.592938733,603.31256490135,492.710280373832,3.17549325025961
"366","106 Ashby Rd, Upper Darby, PA, 19082","for_sale",180000,3,1,0.06,"106 Ashby Rd","Upper Darby","Pennsylvania","19082",1392,2013-02-01,"2013",18570,1365.40926225094,53137.0861604739,2623.63974151858,2920,5376.04523424879,0.0893914916532041,139339.456112009,4985.07269789984,599.418416801292,1.83306408185245
"367","106 Auth Ave, Woodbridge, NJ, 08830","for_sale",449000,3,2,0.09,"106 Auth Ave","Woodbridge","New Jersey","08830",NA,2014-01-31,"2014",9370,661.738527214514,64226.9103521878,3182.50480256137,2530,10012.5784418356,0.0586979722518677,99218.7054429029,1089.37033084312,528.708644610459,2.80362860192102
"368","106 Central Park S Apt 19O, New York, NY, 10019","for_sale",649000,NA,1,NA,"106 Central Park S Apt 19O","New York","New York","10019",400,2014-07-10,"2014",24490,7722.04124132299,1092581.20130666,9133.26378113516,3670,311805.427113107,0.0445079624336464,1369322.18905676,919.518170681911,822.119232339731,3.53613719885668
"369","106 Central Park S Apt 20L, New York, NY, 10019","for_sale",795000,NA,1,NA,"106 Central Park S Apt 20L","New York","New York","10019",595,2013-09-17,"2013",24200,6354.49421487603,824740.96446281,8536.91074380165,3620,228706.741322314,0.0607438016528926,1048591.07892562,899.900826446281,765.252066115702,3.43140495867769
"370","106 Cow Pen Hill Rd, Killingworth, CT, 06419","for_sale",359000,3,2,2.1,"106 Cow Pen Hill Rd","Killingworth","Connecticut","06419",1930,2011-06-30,"2011",3196,207.938047559449,32714.824155194,2965.80100125156,1507,6072.16583229036,0.0854193053817272,47340.9530663329,339.792866082603,324.088235294118,3.1476846057572
"371","106 Dorset Dr, South Plainfield, NJ, 07080","for_sale",591000,4,3,0.23,"106 Dorset Dr","South Plainfield","New Jersey","07080",NA,2010-01-14,"2010",11584,888.241367403315,72563.7905732044,7565.53297651934,4464,10714.3207872928,0.15210635359116,116277.148653315,1306.21046270718,883.797824585635,2.73515193370166
"372","106 Forrest Ave, Wilmington, DE, 19805","for_sale",250000,3,2,0.17,"106 Forrest Ave","Wilmington","Delaware","19805",1650,2010-05-27,"2010",19769,1450.81779553847,73332.3543426577,5805.17213819617,4173,8228.68931154838,0.109919576104001,158582.386615408,4524.10005564267,795.413172138196,1.92017805655319
"373","106 Frederic St, Yonkers, NY, 10703","for_sale",415000,3,2,0.05,"106 Frederic St","Yonkers","New York","10703",1320,2014-07-31,"2014",10420,577.156429942418,45600.226487524,2316.80230326296,2070,6377.67466410749,0.0556621880998081,84842.2063339731,1577.44721689059,361.209213051823,2.41170825335892
"374","106 Garden St, Cranford, NJ, 07016","for_sale",939000,4,3,0.22,"106 Garden St","Cranford","New Jersey","07016",NA,2011-03-11,"2011",11186,1132.25880564992,133607.078222778,10227.1932773109,4906,25861.7435186841,0.104863221884498,189886.190595387,1350.32996602896,1161.8503486501,3.30806365099231
"375","106 Grant Ave, New Providence, NJ, 07974","for_sale",869000,4,3,0.3,"106 Grant Ave","New Providence","New Jersey","07974",NA,2010-01-22,"2010",5466,494.60556165386,111690.678009513,6608.72923527259,2394,27024.9824368825,0.0954994511525796,148829.690084157,841.860958653494,621.037321624588,3.54555433589462
"376","106 Kelsey Pond Ln, Fort Ann, NY, 12827","for_sale",3e+05,5,2,230.5,"106 Kelsey Pond Ln","Fort Ann","New York","12827",2064,2013-06-28,"2013",1910,96.586387434555,8376.98952879581,390.350785340314,410,1062.72251308901,0.120418848167539,15404.6910994764,214.450261780105,79.0575916230366,2.27225130890052
"377","106 Lewis St, Phillipsburg, NJ, 08865","for_sale",199000,2,2,0.07,"106 Lewis St","Phillipsburg","New Jersey","08865",2000,2013-08-28,"2013",13790,722.38143582306,63942.1559100798,4061.41406816534,3910,8735.04278462654,0.110224800580131,112878.739666425,1692.50906453952,738.992023205221,2.43509789702683
"378","106 Myrtle St Apt 1, Boston, MA, 02114","for_sale",6e+05,1,1,NA,"106 Myrtle St Apt 1","Boston","Massachusetts","02114",718,2010-09-23,"2010",6734,461.475051975052,87979.0522720523,3003.38684288684,1393,19987.6063261063,0.0555390555390555,114587.544550045,132.92871992872,258.498514998515,3.12236412236412
"379","106 W 116th St Apt 12A, New York City, NY, 10026","for_sale",659000,1,1,NA,"106 W 116th St Apt 12A","New York City","New York","10026",625,2010-05-04,"2010",18007,1186.26445271283,66091.9348031321,2649.43810740268,1905,8843.02787804743,0.115177430999056,132103.76659077,2722.50808019104,203.473538068529,2.0749153107125
"380","106 W Bayberry Way, Lavallette, NJ, 08735","for_sale",649000,2,1,0.03,"106 W Bayberry Way","Lavallette","New Jersey","08735",560,2013-03-04,"2013",1540,36.8116883116883,14210.487012987,734.603896103896,490,2646.7987012987,0.0844155844155844,20307.3701298701,61.2987012987013,130.454545454545,2.98701298701299
"381","106 Wayne Ave, Darby, PA, 19023","for_sale",115000,3,2,0.03,"106 Wayne Ave","Darby","Pennsylvania","19023",1160,2010-03-29,"2010",9669.0001,1067.56416312376,30762.6081211851,2155.7308702479,1958.0001,2786.79115951193,0.15534182278062,76614.3174411592,2511.88713918826,464.743505380666,1.76481543319045
"382","1060 Lamberton St, Trenton, NJ, 08611","for_sale",169000,2,2,NA,"1060 Lamberton St","Trenton","New Jersey","08611",1100,2010-07-28,"2010",10342.0001,836.4082301643,31827.120655317,1671.52551081488,1328.0001,3165.55827532819,0.154515575763725,85851.6490441728,3328.8049378379,311.76812694094,1.66389483983857
"383","1064 Radio Rd, Tuckerton, NJ, 08087","for_sale",357900,3,3,0.15,"1064 Radio Rd","Tuckerton","New Jersey","08087",1936,2014-12-04,"2014",11490,530.942558746736,56948.4386422977,4262.43080939948,3660,7904.04873803307,0.093124456048738,98943.7232375979,1111.11401218451,759.556135770235,2.52393385552655
"384","1065 Lexington Ave Unit 7A, New York, NY, 10021","for_sale",3385000,3,2,NA,"1065 Lexington Ave Unit 7A","New York","New York","10021",NA,2014-08-04,"2014",24090,15023.3789954338,2677516.66500623,24040.9634703196,8030,818807.182648402,0.0286425902864259,3298206.67496887,1596.31797426318,2039.51847239518,3.93233706932337
"385","1065 Park Ave Unit 3D, New York City, NY, 10128","for_sale",650000,1,1,0.14,"1065 Park Ave Unit 3D","New York City","New York","10128",NA,2012-10-31,"2012",32670,9786.46005509642,1600364.42179369,24150.0826446281,8280,419547.182430364,0.0572390572390572,2054188.62197735,1973.15886134068,1687.16865625957,3.48209366391185
"386","107-59 Watson Pl, Jamaica, NY, 11433","for_sale",675000,3,3,0.05,"107-59 Watson Pl","Jamaica","New York","11433",NA,2014-04-18,"2014",15910,952.306096794469,39960.2313010685,3687.70584538026,2470,4170.57762413576,0.0559396605908234,113752.340666248,4157.78126964173,413.507228158391,1.85040854808297
"387","107 67th St, West New York, NJ, 07093","for_sale",749900,3,2,NA,"107 67th St","West New York","New Jersey","07093",NA,2011-01-26,"2011",27324,1399.48162787293,86550.8236348997,4164.33476064998,3443,11838.7368613673,0.141597130727566,196372.010247402,5477.50896647636,589.65894451764,2.03722002635046
"388","107 Callowhill St, Philadelphia, PA, 19123","for_sale",2200000,4,6,0.04,"107 Callowhill St","Philadelphia","Pennsylvania","19123",4325,2013-11-12,"2013",6750,293.023703703704,36733.6325925926,1493.30666666667,1310,5978.01925925926,0.0755555555555556,57104.1259259259,674.133333333333,189.614814814815,2.49925925925926
"389","107 E Massachusetts Ave, Long Beach Township, NJ, 08008","for_sale",2450000,5,4,0.07,"107 E Massachusetts Ave","Long Beach Township","New Jersey","08008",NA,2012-03-22,"2012",4020,116.5,28146.3582089552,2231.14427860697,1320,5318.71393034826,0.111940298507463,44796.9850746269,241.567164179104,324.975124378109,2.81094527363184
"390","107 Gary St, Paris, ME, 04281","for_sale",154900,2,1,0.32,"107 Gary St","Paris","Maine","04281",1188,2014-12-23,"2014",2200,110.518181818182,7465.77272727273,248,330,836.863636363636,0.0636363636363636,16333.5,313.272727272727,59.3636363636364,2.01818181818182
"391","107 Hickory St, West Haven, CT, 06516","for_sale",310000,2,2,0.15,"107 Hickory St","West Haven","Connecticut","06516",1307,2014-04-21,"2014",26030,1445.08643872455,109098.797541298,5857.64809834806,6440,14169.1805608913,0.0902804456396466,205048.250480215,3603.41144832885,1212.43565117172,2.29081828659239
"392","107 Meadow Rd, Woonsocket, RI, 02895","for_sale",399000,3,3,0.21,"107 Meadow Rd","Woonsocket","Rhode Island","02895",3419,2012-01-31,"2012",18000,903.990555555556,63496.9361111111,3175.04111111111,3050,7469.79388888889,0.135555555555556,134017.240555556,3261.18333333333,535.444444444444,1.97888888888889
"393","107 Newington Rd, West Hartford, CT, 06110","for_sale",292500,2,2,0.18,"107 Newington Rd","West Hartford","Connecticut","06110",1397,2013-02-28,"2013",6480,400.962962962963,31448.5401234568,1943.25,1960,4248.61111111111,0.103395061728395,53985.274691358,765.895061728395,382.793209876543,2.45987654320988
"394","107 Sparks Ave, Pennsville, NJ, 08070","for_sale",304900,2,2,0.54,"107 Sparks Ave","Pennsville","New Jersey","08070",1484,2014-12-04,"2014",6010,332.790349417637,35678.159733777,1655.03494176373,1770,5101.6622296173,0.0798668885191348,56696.1863560732,588.851913477537,357.437603993344,2.64725457570715
"395","107 Taxter Rd, Irvington, NY, 10533","for_sale",625000,4,2,0.21,"107 Taxter Rd","Irvington","New York","10533",1653,2011-03-01,"2011",3750,658.668266666667,133633.9648,5282.56266666667,1607,37321.6952,0.05413336,172709.32,512.690933333333,384.911466666667,3.58933333333333
